"","name","start_year","age","years","value","aav","sign_bonus","gtd","prac_gtd","length","position.y","games","recent_team","completions","attempts","passing_yards","passing_tds","interceptions","sacks","sack_yards","sack_fumbles","sack_fumbles_lost","passing_air_yards","passing_yards_after_catch","passing_first_downs","passing_epa","passing_2pt_conversions","pacr","dakota","carries","rushing_yards","rushing_tds","rushing_fumbles","rushing_fumbles_lost","rushing_first_downs","rushing_epa","rushing_2pt_conversions","receptions","targets","receiving_yards","receiving_tds","receiving_fumbles","receiving_fumbles_lost","receiving_air_yards","receiving_yards_after_catch","receiving_first_downs","receiving_epa","receiving_2pt_conversions","racr","target_share","air_yards_share","wopr","special_teams_tds","fantasy_points","fantasy_points_ppr"
"27","Keith Kirkwood","2023",28,1,1010000,1010000,NA,NA,NA,"2023-2023 (FA: 2024)","WR",3,"NO",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,2,4,18,0,0,0,55,4,1,-1.6444360294845,0,0.327272727272727,0.071705069124424,0.174329390847248,0.22958817727971,0,1.8,3.8
"28","Mack Hollins","2023",29,1,2500000,2500000,910000,910000,910000,"2023-2023 (FA: 2024)","WR",17,"LV",1,1,4,0,0,0,0,0,0,-6,10,0,0.0511495949467644,0,0,NA,4,40,0,0,0,2,2.1589912319323,0,57,94,690,4,0,0,1192,196,34,31.4346878753665,0,0.578859060402685,0.168365855408622,0.223966819885247,0.409325557032605,0,97.16,154.16
"29","Marquise Goodwin","2023",32,1,1700000,1700000,250000,4e+05,4e+05,"2023-2023 (FA: 2024)","WR",12,"SEA",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,2,5,0,0,0,0,-0.509956069930922,0,27,42,387,4,0,0,442,114,18,20.9001769792498,0,0.875565610859729,0.10176296011234,0.13897394703951,0.249926203096166,0,63.2,90.2
"30","Marvin Jones","2023",33,1,3e+06,3e+06,8e+05,3e+06,3e+06,"2023-2023 (FA: 2024)","WR",18,"JAX",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,50,90,579,4,0,0,1203,109,33,16.0371528609984,0,0.481296758104738,0.141739745206483,0.25819323243167,0.393344880511893,0,81.9,131.9
"31","Mecole Hardman","2023",25,1,4e+06,4e+06,2500000,3580000,3580000,"2023-2023 (FA: 2024)","WR",9,"KC",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,6,38,2,0,0,4,2.94769139168784,0,27,37,307,4,0,0,290,163,15,18.4252539510112,0,1.05862068965517,0.0998642512874012,0.110871467530868,0.22740640420271,0,70.5,97.5
"32","Michael Thomas","2023",30,1,1e+07,1e+07,5e+06,1e+07,1e+07,"2023-2024 (FA: 2025)","WR",3,"NO",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,16,22,171,3,0,0,237,21,13,16.6963073176448,0,0.721518987341772,0.201068376068376,0.195333983396724,0.438336352480271,0,35.1,51.1
"33","Miles Boykin","2023",26,1,1080000,1080000,NA,NA,NA,"2023-2023 (FA: 2024)","WR",3,"PIT",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,2,3,11,0,0,0,46,0,1,-0.880375883949455,0,0.239130434782609,0.0314179725944432,0.0488607000234907,0.0813294489081083,0,1.1,3.1
"34","Nelson Agholor","2023",29,1,3250000,3250000,2085000,3250000,3250000,"2023-2023 (FA: 2024)","WR",14,"NE",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,31,53,362,2,2,2,653,147,12,-12.4919073055488,0,0.554364471669219,0.124236410764772,0.20871974469269,0.332458437432041,0,44.2,75.2
"35","Noah Brown","2023",27,1,2600000,2600000,750000,2250000,2250000,"2023-2023 (FA: 2024)","WR",17,"DAL",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,47,78,594,3,1,1,805,162,27,1.94190499451528,0,0.737888198757764,0.14425739050201,0.181821271005124,0.343660975456602,0,75.4,122.4
"36","Olamide Zaccheaus","2023",25,1,1232500,1232500,1e+05,650000,650000,"2023-2023 (FA: 2024)","WR",16,"ATL",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,2,7,0,0,0,1,-0.471231613657437,0,40,61,533,3,1,1,722,189,25,23.6775589132273,0,0.738227146814404,0.169478702589475,0.22208716767589,0.409679071257336,0,70,110
