"","name","start_year","age","years","value","aav","sign_bonus","gtd","prac_gtd","length","position.y","games","recent_team","completions","attempts","passing_yards","passing_tds","interceptions","sacks","sack_yards","sack_fumbles","sack_fumbles_lost","passing_air_yards","passing_yards_after_catch","passing_first_downs","passing_epa","passing_2pt_conversions","pacr","dakota","carries","rushing_yards","rushing_tds","rushing_fumbles","rushing_fumbles_lost","rushing_first_downs","rushing_epa","rushing_2pt_conversions","receptions","targets","receiving_yards","receiving_tds","receiving_fumbles","receiving_fumbles_lost","receiving_air_yards","receiving_yards_after_catch","receiving_first_downs","receiving_epa","receiving_2pt_conversions","racr","target_share","air_yards_share","wopr","special_teams_tds","fantasy_points","fantasy_points_ppr"
"26","Justin Herbert","2023",25,5,262500000,52500000,16128376,133738376,218738376,"2023-2029 (FA: 2030)","QB",18,"LAC",502,742,5012,26,10,41,226,5,3,4728,2643,241,31.1041720388969,1,1.06006768189509,0.0802141472136234,57,159,0,4,0,18,10.0992935748654,0,2,2,-10,0,0,0,-15,5,0,-2.7877581793,0,0,0.0270453008789723,-0.0281870686012114,0.0208370032976104,0,295.38,297.38
"27","Kyle Allen","2023",27,1,1232500,1232500,1e+05,350000,350000,"2023-2023 (FA: 2024)","QB",2,"HOU",46,78,416,2,4,5,41,2,0,553,246,19,-34.0045657036541,0,0.752260397830018,-0.0173777750987549,6,13,0,2,1,2,-6.142968632048,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,15.94,15.94
"28","Lamar Jackson","2023",26,5,2.6e+08,5.2e+07,72500000,1.35e+08,1.85e+08,"2023-2027 (FA: 2028)","QB",12,"BAL",203,326,2242,17,7,26,114,3,1,2752,971,105,9.42733552568468,1,0.814680232558139,0.0838332508922279,112,764,3,2,1,47,39.7721011016284,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,236.08,236.08
"29","Marcus Mariota","2023",29,1,5e+06,5e+06,3835000,5e+06,5e+06,"2023-2023 (FA: 2024)","QB",13,"ATL",184,300,2219,15,9,28,195,4,1,3105,900,111,6.05363550723857,2,0.714653784219002,0.0716672938408555,85,438,4,4,2,30,9.89377344716922,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,196.56,196.56
"30","Mike White","2023",27,2,8e+06,4e+06,3420000,4500000,4500000,"2023-2024 (FA: 2025)","QB",4,"NYJ",103,175,1192,3,4,9,76,2,1,1303,568,56,-7.62786697386352,0,0.914811972371451,0.00721729078520551,6,9,1,0,0,3,2.57582128146896,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,56.58,56.58
"31","Mitchell Trubisky","2023",28,2,11250000,5625000,6920000,8e+06,8e+06,"2023-2025 (FA: 2026)","QB",7,"PIT",117,180,1252,4,5,11,68,0,0,1750,382,65,7.73026837691226,1,0.715428571428571,0.0760172833100908,19,38,2,0,0,7,-3.26305165985832,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,73.88,73.88
"32","Nate Sudfeld","2023",29,1,1600000,1600000,435000,1e+06,1e+06,"2023-2023 (FA: 2024)","QB",2,"DET",0,0,0,0,0,1,7,0,0,0,0,0,-0.898727806800917,0,NA,NA,5,-4,0,0,0,0,-3.48128269147128,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,-0.4,-0.4
"33","Nick Mullens","2023",27,2,4e+06,2e+06,750000,1922500,1922500,"2023-2024 (FA: 2025)","QB",4,"MIN",21,25,224,1,1,0,0,0,0,170,117,11,12.4374951408125,0,1.31764705882353,0.272799888239892,4,8,0,0,0,1,-0.730160304869059,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,11.76,11.76
"34","Sam Darnold","2023",25,1,4500000,4500000,1500000,3500000,3500000,"2023-2023 (FA: 2024)","QB",6,"CAR",82,140,1143,7,3,10,78,1,1,1111,580,57,21.072685399864,0,1.02880288028803,0.1337033240846,26,106,2,4,1,10,-4.00550188154991,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,86.32,86.32
"35","Taylor Heinicke","2023",29,2,1.4e+07,7e+06,4e+06,6320000,6320000,"2023-2024 (FA: 2025)","QB",9,"WAS",161,259,1859,12,6,19,141,6,5,2134,784,93,-12.7109937517172,0,0.871134020618557,0.0542098200771289,28,96,1,1,0,6,-4.39168699807487,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,115.96,115.96
